Дата,Время,Место
02.03.21,15:00:00,м. Рассказовка
04.03.21,17:00:00,м. Юго-Западная
06.03.21,12:00:00,м. Рассказовка
08.03.21,15:00:00,м. Юго-Западная
10.03.21,17:00:00,м. Рассказовка
12.03.21,12:00:00,м. Юго-Западная
14.03.21,15:00:00,м. Рассказовка
16.03.21,17:00:00,м. Юго-Западная
18.03.21,12:00:00,м. Рассказовка
20.03.21,15:00:00,м. Юго-Западная
22.03.21,17:00:00,м. Рассказовка
24.03.21,12:00:00,м. Юго-Западная
26.03.21,15:00:00,м. Рассказовка
28.03.21,17:00:00,м. Юго-Западная
30.03.21,12:00:00,м. Рассказовка
